Address,Message_0,Message_1,Message_2,Message_3,Message_4,Message_5,Message_6,Message_7,Message_8,Message_9
/tag1,127.4000015258789,3.9000000953674316,8.010000228881836,-235.75999450683594,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,165.30999755859375,3.890000104904175,7.300000190734863,-270.239990234375,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,127.4000015258789,3.9000000953674316,8.010000228881836,-235.75999450683594,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,111.76000213623047,3.819999933242798,6.769999980926514,-205.60000610351562,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,98.27999877929688,3.940000057220459,6.769999980926514,-179.1300048828125,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,98.27999877929688,3.940000057220459,6.769999980926514,-179.1300048828125,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,98.27999877929688,3.940000057220459,6.769999980926514,-179.1300048828125,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,98.27999877929688,3.940000057220459,6.769999980926514,-156.0,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,76.06999969482422,3.9700000286102295,7.940000057220459,-135.7899932861328,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,86.37999725341797,3.940000057220459,7.28000020980835,-156.0,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,76.06999969482422,3.9700000286102295,7.940000057220459,-135.7899932861328,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,66.80999755859375,3.859999895095825,7.079999923706055,-118.12999725341797,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,58.91999816894531,3.9600000381469727,7.079999923706055,-102.58000183105469,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,58.91999816894531,3.9600000381469727,7.079999923706055,-102.58000183105469,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,51.900001525878906,3.859999895095825,7.25,205.11000061035156,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,51.900001525878906,3.859999895095825,7.25,233.5800018310547,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,73.18000030517578,3.940000057220459,7.53000020980835,180.2100067138672,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,45.790000915527344,3.859999895095825,7.050000190734863,205.11000061035156,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,73.18000030517578,3.940000057220459,7.53000020980835,180.2100067138672,0.0,0.0,0.0,0.0,0.0,0.0
/tag1,73.18000030517578,3.940000057220459,7.53000020980835,180.2100067138672,0.0,0.0,0.0,0.0,0.0,0.0
